id,slice,x,y,throughput(Kbps),allocatedCell
1,4,23,93,5637,0
2,3,25,92,55251,0
3,3,68,31,84881,0
4,4,45,53,5219,0
5,2,39,69,199,0
6,1,93,99,195,0
7,2,88,96,269,0
8,2,68,27,240,0
9,1,98,44,165,0
10,4,59,15,6841,0
11,2,97,41,229,0
12,3,44,25,44161,0
13,4,53,40,5550,0
14,2,52,29,134,0
15,1,95,28,182,0
16,1,33,64,125,0
17,4,78,14,3612,0
18,2,30,59,217,0
19,2,25,47,282,0
20,2,33,49,202,0
21,3,90,91,62443,0
22,2,87,89,97,0
23,3,26,74,10078,0
24,1,22,0,200,0
25,2,56,90,150,0
26,3,29,10,27143,0
27,3,30,88,61945,0
28,3,61,67,58649,0
29,4,25,9,3368,0
30,3,35,17,75495,0
31,3,67,12,66409,0
32,2,25,49,120,0
33,2,40,45,53,0
34,4,94,92,6089,0
35,1,15,29,92,0
36,2,26,81,74,0
37,2,30,62,114,0
38,2,11,16,83,0
39,1,76,13,156,0
40,2,69,89,191,0
41,1,15,35,88,0
42,2,7,13,137,0
43,2,82,24,266,0
44,2,60,40,169,0
45,4,81,56,7737,0
46,2,51,75,259,0
47,4,76,89,1995,0
48,2,20,39,233,0
49,2,96,22,212,0
50,4,87,1,1876,0
51,3,86,0,30721,0
52,4,84,4,2654,0
53,4,70,63,5382,0
54,1,55,42,86,0
55,3,70,32,88807,0
56,2,28,77,85,0
57,4,8,17,2333,0
58,1,43,39,117,0
59,4,20,46,7720,0
60,4,55,62,5924,0
61,3,20,4,17436,0
62,1,46,54,166,0
63,2,64,90,78,0
64,1,84,55,199,0
65,1,34,29,100,0
66,3,69,72,19518,0
67,2,72,74,85,0
68,4,13,76,6682,0
69,3,55,71,22390,0
70,2,0,65,93,0
71,2,48,68,238,0
72,4,73,22,7696,0
73,2,70,97,179,0
74,3,75,45,60471,0
75,1,51,50,182,0
76,3,40,64,69929,0
77,2,30,99,213,0
78,2,53,59,188,0
79,3,86,87,26912,0
80,4,82,69,1340,0
81,3,48,83,28959,0
82,3,52,66,19142,0
83,3,36,88,71996,0
84,2,97,11,288,0
85,2,59,77,173,0
86,3,31,82,69460,0
87,4,94,36,2405,0
88,4,46,3,5795,0
89,4,88,8,7091,0
90,2,12,54,195,0
91,2,98,9,160,0
92,1,81,99,118,0
93,2,55,21,128,0
94,4,34,8,4684,0
95,1,12,75,119,0
96,2,95,49,80,0
97,2,96,74,150,0
98,2,37,83,100,0
99,4,87,13,1971,0
100,3,52,42,84038,0
101,3,70,96,32411,0
102,1,77,35,133,0
103,2,72,34,117,0
104,3,27,70,18799,0
105,4,94,69,2465,0
106,2,16,86,148,0
107,3,3,81,82324,0
108,1,54,67,138,0
109,1,60,19,120,0
110,3,59,44,39662,0
111,4,86,74,4569,0
112,1,87,36,108,0
113,4,83,63,6124,0
114,3,64,62,49176,0
115,2,8,64,167,0
116,2,23,56,268,0
117,3,79,0,19994,0
118,1,54,6,121,0
119,1,90,10,170,0
120,4,59,26,5214,0
121,2,85,81,190,0
122,3,62,37,77416,0
123,1,86,27,171,0
124,4,91,31,3430,0
125,3,32,42,6626,0
126,2,79,68,163,0
127,3,44,19,8473,0
128,3,1,79,42923,0
129,3,25,23,38653,0
130,4,67,6,2207,0
131,1,61,81,118,0
132,4,6,52,2538,0
133,2,17,46,36,0
134,4,46,96,4299,0
135,2,15,43,260,0
136,3,0,94,89767,0
137,4,91,80,7247,0
138,4,25,16,7745,0
139,1,65,86,137,0
140,4,50,63,4609,0
141,2,5,89,259,0
142,1,34,97,99,0
143,3,80,68,48848,0
144,1,41,61,162,0
145,4,95,99,7376,0
146,3,82,52,50679,0
147,3,14,2,34244,0
148,4,20,96,2141,0
149,2,1,1,168,0
150,1,13,42,105,0
151,2,30,66,170,0
152,1,19,5,117,0
153,3,10,67,50015,0
154,2,13,46,159,0
155,1,73,65,182,0
156,4,57,79,7066,0
157,2,4,86,102,0
158,3,34,69,1898,0
159,4,31,46,4493,0
160,1,18,26,128,0
161,1,75,99,100,0
162,4,10,92,1603,0
163,2,0,96,71,0
164,2,80,59,137,0
165,2,29,60,239,0
166,1,98,83,138,0
167,4,66,34,7648,0
168,2,31,46,130,0
169,2,61,2,95,0
170,3,52,86,32889,0
171,4,51,87,2192,0
172,4,48,56,5585,0
173,1,93,34,154,0
174,3,78,18,44221,0
175,1,80,85,131,0
176,1,44,63,100,0
177,2,16,66,101,0
178,4,13,77,5856,0
179,4,59,92,7184,0
180,4,94,56,4889,0
181,3,73,40,82157,0
182,2,22,28,241,0
183,1,65,58,180,0
184,3,5,39,22843,0
185,3,29,28,75988,0
186,4,80,59,3728,0
187,1,58,84,151,0
188,3,43,2,82487,0
189,2,95,60,134,0
190,3,56,54,68862,0
191,1,18,61,168,0
192,4,38,34,5015,0
193,3,11,19,26220,0
194,1,69,80,155,0
195,1,75,87,148,0
196,2,82,95,113,0
197,2,10,32,234,0
198,2,96,68,194,0
199,3,92,41,87830,0
200,3,62,23,59256,0
201,2,97,49,260,0
202,1,65,93,181,0
203,1,4,53,121,0
204,2,87,26,53,0
205,1,75,17,166,0
206,2,10,23,90,0
207,1,43,2,177,0
208,1,71,29,194,0
209,4,24,61,2544,0
210,1,39,93,197,0
211,3,49,98,38230,0
212,1,9,95,151,0
213,4,47,40,4233,0
214,2,58,19,77,0
215,3,95,84,17875,0
216,2,86,86,144,0
217,3,99,67,33835,0
218,4,21,45,7072,0
219,2,16,49,67,0
220,2,31,3,183,0
221,1,89,75,172,0
222,2,63,43,245,0
223,2,6,82,60,0
224,3,27,95,42711,0
225,4,79,27,6040,0
226,1,73,29,95,0
227,2,63,32,277,0
228,2,81,66,218,0
229,1,71,4,142,0
230,4,40,55,4124,0
231,1,10,22,125,0
232,3,97,16,89147,0
233,1,71,75,170,0
234,3,63,29,3762,0
235,4,81,23,6479,0
236,4,47,17,1398,0
237,4,23,89,3856,0
238,1,28,30,169,0
239,3,17,39,2414,0
240,4,47,55,4350,0
241,3,78,6,3358,0
242,3,5,62,8626,0
243,2,66,24,153,0
244,4,23,74,5029,0
245,1,94,9,97,0
246,1,14,62,175,0
247,1,76,39,184,0
248,3,48,77,81718,0
249,1,97,64,89,0
250,1,31,73,178,0

